[SYS] 2026/06/03 - 10:50:52 | initializing token encoders 
[SYS] 2026/06/03 - 10:50:52 | token encoders initialized 
[SYS] 2026/06/03 - 10:50:52 | SQL_DSN not set, using SQLite as database 
[SYS] 2026/06/03 - 10:50:52 | database migration started 
[SYS] 2026/06/03 - 10:50:52 | system is not initialized and no root user exists 
[SYS] 2026/06/03 - 10:50:52 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2026/06/03 - 10:50:52 | i18n initialized with languages: zh-CN, zh-TW, en 
[SYS] 2026/06/03 - 10:50:52 | Loaded 0 custom OAuth providers 
[SYS] 2026/06/03 - 10:50:52 | New API v0.0.0 started 
[SYS] 2026/06/03 - 10:50:52 | 正在更新数据看板数据... 
[INFO] 2026/06/03 - 10:50:52 | SYSTEM | codex credential auto-refresh task started: tick=10m0s threshold=24h0m0s 
[INFO] 2026/06/03 - 10:50:52 | SYSTEM | subscription quota reset task started: tick=1m0s 
[SYS] 2026/06/03 - 10:50:52 | 保存数据看板数据成功，共保存0条数据 
[SYS] 2026/06/03 - 10:50:52 | upstream model update task started: interval=30m0s 

  [32mNew API v0.0.0[0m  ready in 578 ms

  ➜  [1mLocal:[0m   http://localhost:3000/
  ➜  [1mNetwork:[0m http://192.168.10.216:3000/

[GIN] 2026/06/03 - 10:51:03 | web | 202606030251036920205008268d9d6wU0cogru | 200 |     12.6504ms |       127.0.0.1 |     GET /assets/semi-ui-yRXI6evF.css
[GIN] 2026/06/03 - 10:51:03 | web | 202606030251036935298008268d9d6iyXO8anB | 200 |     12.3304ms |       127.0.0.1 |     GET /assets/index-DmBMgGbG.css
[GIN] 2026/06/03 - 10:51:03 | web | 202606030251036887040008268d9d67OcE2XX3 | 200 |     56.1957ms |       127.0.0.1 |     GET /assets/semi-ui-zoMjJx-j.js
[GIN] 2026/06/03 - 10:51:03 | web | 202606030251036855018008268d9d6a0Mqm8Zs | 200 |    175.9031ms |       127.0.0.1 |     GET /assets/index-CoZZEcHa.js
[GIN] 2026/06/03 - 10:51:04 | api | 202606030251041993734008268d9d6QzsndkZb | 200 |      1.0355ms |       127.0.0.1 |     GET /api/setup
[GIN] 2026/06/03 - 10:51:04 | api | 202606030251042166886008268d9d6zWZDs23u | 200 |        10.7µs |       127.0.0.1 |     GET /api/status
[GIN] 2026/06/03 - 10:51:04 | web | 202606030251042281547008268d9d6nb6AVwNB | 200 |            0s |       127.0.0.1 |     GET /logo.png
[GIN] 2026/06/03 - 10:51:04 | web | 202606030251042361542008268d9d67DqNfpys | 200 |            0s |       127.0.0.1 |     GET /logo.png
[SYS] 2026/06/03 - 10:51:07 | 任务进度轮询开始 
[SYS] 2026/06/03 - 10:51:07 | 任务进度轮询完成 
[GIN] 2026/06/03 - 10:51:16 | api | 20260603025116844800008268d9d6s9gw4mun | 200 |     79.9941ms |       127.0.0.1 |    POST /api/setup
[GIN] 2026/06/03 - 10:51:17 | web | 202606030251176934723008268d9d6Vjb4H10c | 200 |            0s |       127.0.0.1 |     GET /setup
[GIN] 2026/06/03 - 10:51:17 | web | 202606030251177678535008268d9d6YtymWKVU | 200 |      3.0379ms |       127.0.0.1 |     GET /assets/i18n-CXf1qFdU.js
[GIN] 2026/06/03 - 10:51:17 | web | 202606030251177708914008268d9d6yZkW8Soo | 200 |       999.4µs |       127.0.0.1 |     GET /assets/react-components-BMEyFlsF.js
[GIN] 2026/06/03 - 10:51:17 | web | 202606030251177688987008268d9d6uHDfApIf | 200 |      2.9921ms |       127.0.0.1 |     GET /assets/tools-BaE53nVS.js
[GIN] 2026/06/03 - 10:51:17 | web | 202606030251177678535008268d9d6rFSxSjbf | 200 |      8.1826ms |       127.0.0.1 |     GET /assets/react-core-BAQOEN2L.js
[GIN] 2026/06/03 - 10:51:17 | web | 202606030251177727842008268d9d6hY6AUKYB | 200 |     19.9365ms |       127.0.0.1 |     GET /assets/semi-ui-yRXI6evF.css
[GIN] 2026/06/03 - 10:51:17 | web | 202606030251177742180008268d9d621PUPJkx | 200 |     20.3939ms |       127.0.0.1 |     GET /assets/index-DmBMgGbG.css
[GIN] 2026/06/03 - 10:51:17 | web | 202606030251177688987008268d9d6TwY2dDf5 | 200 |     63.6791ms |       127.0.0.1 |     GET /assets/semi-ui-zoMjJx-j.js
[GIN] 2026/06/03 - 10:51:17 | web | 202606030251177673380008268d9d6PIAp8zZN | 200 |    183.6731ms |       127.0.0.1 |     GET /assets/index-CoZZEcHa.js
[GIN] 2026/06/03 - 10:51:18 | api | 202606030251182908786008268d9d62bVxBKkr | 200 |            0s |       127.0.0.1 |     GET /api/setup
[GIN] 2026/06/03 - 10:51:18 | api | 202606030251182908786008268d9d6krifAlrR | 200 |       999.8µs |       127.0.0.1 |     GET /api/status
[GIN] 2026/06/03 - 10:51:18 | web | 202606030251183000912008268d9d6VAhHunXW | 200 |            0s |       127.0.0.1 |     GET /logo.png
[GIN] 2026/06/03 - 10:51:18 | web | 202606030251183191335008268d9d6aG5mykTb | 200 |            0s |       127.0.0.1 |     GET /logo.png
[GIN] 2026/06/03 - 10:51:18 | web | 202606030251183815053008268d9d6oCmqRMEY | 200 |            0s |       127.0.0.1 |     GET /
[GIN] 2026/06/03 - 10:51:18 | web | 202606030251184705352008268d9d6TGf13bW7 | 200 |      2.2044ms |       127.0.0.1 |     GET /assets/i18n-CXf1qFdU.js
[GIN] 2026/06/03 - 10:51:18 | web | 202606030251184721306008268d9d67qf2QX6I | 200 |      1.8934ms |       127.0.0.1 |     GET /assets/react-components-BMEyFlsF.js
[GIN] 2026/06/03 - 10:51:18 | web | 202606030251184715621008268d9d6ODg7OyjM | 200 |      3.4467ms |       127.0.0.1 |     GET /assets/tools-BaE53nVS.js
[GIN] 2026/06/03 - 10:51:18 | web | 202606030251184705352008268d9d6nzZE9KT2 | 200 |      8.4198ms |       127.0.0.1 |     GET /assets/react-core-BAQOEN2L.js
[GIN] 2026/06/03 - 10:51:18 | web | 202606030251184740240008268d9d6VwsSAoyX | 200 |      8.1664ms |       127.0.0.1 |     GET /assets/semi-ui-yRXI6evF.css
[GIN] 2026/06/03 - 10:51:18 | web | 202606030251184761630008268d9d6GBIXhJSX | 200 |     12.4649ms |       127.0.0.1 |     GET /assets/index-DmBMgGbG.css
[GIN] 2026/06/03 - 10:51:18 | web | 202606030251184710467008268d9d6yI1ZiVMi | 200 |      57.376ms |       127.0.0.1 |     GET /assets/semi-ui-zoMjJx-j.js
[GIN] 2026/06/03 - 10:51:18 | web | 202606030251184695251008268d9d6gePMn2jA | 200 |     177.823ms |       127.0.0.1 |     GET /assets/index-CoZZEcHa.js
[GIN] 2026/06/03 - 10:51:19 | web | 20260603025119427570008268d9d6shgiP5Kh | 200 |            0s |       127.0.0.1 |     GET /assets/index-C5_UUktj.js
[GIN] 2026/06/03 - 10:51:19 | api | 20260603025119514267008268d9d6BPQ4nb8C | 200 |            0s |       127.0.0.1 |     GET /api/status
[GIN] 2026/06/03 - 10:51:19 | web | 20260603025119559561008268d9d6iqLwK7GB | 200 |       743.8µs |       127.0.0.1 |     GET /logo.png
[GIN] 2026/06/03 - 10:51:19 | api | 202606030251191008285008268d9d6zKPrvjM3 | 200 |            0s |       127.0.0.1 |     GET /api/home_page_content
[GIN] 2026/06/03 - 10:51:19 | api | 202606030251191008285008268d9d692qBxMCe | 200 |            0s |       127.0.0.1 |     GET /api/notice
[GIN] 2026/06/03 - 10:51:19 | web | 202606030251191089597008268d9d6QnJJn9hd | 200 |            0s |       127.0.0.1 |     GET /logo.png
[GIN] 2026/06/03 - 10:51:21 | web | 202606030251214340327008268d9d6eyYCV1xh | 200 |      1.0286ms |       127.0.0.1 |     GET /cover-4.webp
[GIN] 2026/06/03 - 10:51:21 | api | 202606030251214404613008268d9d6fZ06BZVF | 200 |      1.0834ms |       127.0.0.1 |     GET /api/pricing
[SYS] 2026/06/03 - 10:51:22 | 任务进度轮询开始 
[SYS] 2026/06/03 - 10:51:22 | 任务进度轮询完成 
[GIN] 2026/06/03 - 10:51:35 | web | 202606030251357159867008268d9d6sI9bfe4J | 200 |         528µs |       127.0.0.1 |     GET /assets/bisect-D13AdYuf.js
[GIN] 2026/06/03 - 10:51:35 | web | 202606030251357154667008268d9d6cHbBbZUv | 200 |       1.048ms |       127.0.0.1 |     GET /assets/IllustrationConstruction-dDyUD5O3.js
[GIN] 2026/06/03 - 10:51:35 | api | 202606030251357216511008268d9d6BgePzy4c | 401 |       522.9µs |       127.0.0.1 |     GET /api/user/self
[GIN] 2026/06/03 - 10:51:35 | web | 202606030251357154667008268d9d6vCrQePFl | 200 |     13.0904ms |       127.0.0.1 |     GET /assets/index-BS1OUp9L.js
[GIN] 2026/06/03 - 10:51:35 | web | 202606030251357502703008268d9d6gLMAxPtr | 429 |       517.8µs |       127.0.0.1 |     GET /login?expired=true
[SYS] 2026/06/03 - 10:51:37 | 任务进度轮询开始 
[SYS] 2026/06/03 - 10:51:37 | 任务进度轮询完成 
[GIN] 2026/06/03 - 10:51:42 | web | 202606030251424589247008268d9d6hWS6WvUf | 429 |            0s |       127.0.0.1 |     GET /login?expired=true
[GIN] 2026/06/03 - 10:51:43 | web | 202606030251434368071008268d9d6aNYLXOMd | 429 |            0s |       127.0.0.1 |     GET /pricing
