[SYS] 2026/06/08 - 08:54:16 | initializing token encoders 
[SYS] 2026/06/08 - 08:54:16 | token encoders initialized 
[SYS] 2026/06/08 - 08:54:16 | SQL_DSN not set, using SQLite as database 
[SYS] 2026/06/08 - 08:54:16 | database migration started 
[SYS] 2026/06/08 - 08:54:16 | system is already initialized at: 2026-03-24 08:57:55 +0800 CST 
[SYS] 2026/06/08 - 08:54:16 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2026/06/08 - 08:54:16 | i18n initialized with languages: zh-CN, zh-TW, en 
[SYS] 2026/06/08 - 08:54:16 | Loaded 0 custom OAuth providers 
[SYS] 2026/06/08 - 08:54:16 | New API v0.0.0 started 
[SYS] 2026/06/08 - 08:54:16 | 正在更新数据看板数据... 
[SYS] 2026/06/08 - 08:54:16 | 保存数据看板数据成功，共保存0条数据 
[INFO] 2026/06/08 - 08:54:16 | SYSTEM | codex credential auto-refresh task started: tick=10m0s threshold=24h0m0s 
[SYS] 2026/06/08 - 08:54:16 | upstream model update task started: interval=30m0s 

  [32mNew API v0.0.0[0m  ready in 231 ms

  ➜  [1mLocal:[0m   http://localhost:3000/
  ➜  [1mNetwork:[0m http://192.168.10.35:3000/

[SYS] 2026/06/08 - 08:54:17 | upstream model update check failed: channel_id=9 channel_name=axa err=Get "https://api.axa.us.ci/v1/models": EOF 
[SYS] 2026/06/08 - 08:54:17 | upstream model update check failed: channel_id=18 channel_name=grok2api err=Get "https://vibe.grok2api.us.ci/v1/models": EOF 
[SYS] 2026/06/08 - 08:54:17 | upstream model update check failed: channel_id=19 channel_name=gptanon-2api err=Get "https://gptanon-2api.to2ai.workers.dev/v1/models": EOF 
[SYS] 2026/06/08 - 08:54:18 | upstream model update task done: checked_channels=6 changed_channels=1 detected_add_models=0 detected_remove_models=82 failed_channels=3 auto_added_models=0 
[SYS] 2026/06/08 - 08:54:18 | upstream model update notifications sent: 0 
[GIN] 2026/06/08 - 08:54:40 | api | 202606080054408854610008268d9d6Jw9ISr3j | 200 |       620.3µs |       127.0.0.1 |     GET /api/user/self
[GIN] 2026/06/08 - 08:54:42 | api | 202606080054429774117008268d9d6SosQDym2 | 200 |       998.7µs |       127.0.0.1 |     GET /api/task/?p=1&page_size=10&channel_id=&task_id=&start_timestamp=1780848000&end_timestamp=1780883682
[GIN] 2026/06/08 - 08:54:43 | api | 202606080054437040464008268d9d61gUN691X | 200 |      1.5547ms |       127.0.0.1 |     GET /api/log/?p=1&page_size=10&type=0&username=&token_name=&model_name=&start_timestamp=1780848000&end_timestamp=1780883683&channel=&request_id=
[GIN] 2026/06/08 - 08:54:43 | api | 202606080054437288738008268d9d69qNSqd5B | 200 |         527µs |       127.0.0.1 |     GET /api/log/stat?type=0&username=&token_name=&model_name=&start_timestamp=1780848000&end_timestamp=1780883683&channel=
[GIN] 2026/06/08 - 08:54:45 | api | 202606080054456387973008268d9d63xqf1Kph | 200 |      1.0625ms |       127.0.0.1 |     GET /api/token/?p=1&size=10
[GIN] 2026/06/08 - 08:54:45 | api | 202606080054456381802008268d9d6eBsC9Joj | 200 |      8.5294ms |       127.0.0.1 |     GET /api/user/models
[GIN] 2026/06/08 - 08:54:46 | api | 202606080054464015297008268d9d6CG8Whi85 | 200 |       514.9µs |       127.0.0.1 |     GET /api/data/?username=&start_timestamp=1780243200&end_timestamp=1780880086&default_time=hour
[GIN] 2026/06/08 - 08:54:46 | api | 202606080054464015297008268d9d6A0aUJ98s | 200 |       514.9µs |       127.0.0.1 |     GET /api/user/self
[GIN] 2026/06/08 - 08:54:46 | api | 202606080054464304602008268d9d6bSXmWDgC | 200 |         527µs |       127.0.0.1 |     GET /api/data/users?start_timestamp=1780243200&end_timestamp=1780880086
[SYS] 2026/06/08 - 08:54:46 | 任务进度轮询开始 
[SYS] 2026/06/08 - 08:54:46 | 任务进度轮询完成 
[GIN] 2026/06/08 - 08:54:49 | api | 202606080054493791250008268d9d6s9uiOhYW | 200 |      2.7054ms |       127.0.0.1 |     GET /api/user/models
[GIN] 2026/06/08 - 08:54:54 | api | 202606080054543640786008268d9d6e5xDnL3f | 200 |     18.0696ms |       127.0.0.1 |     GET /api/option/
