[SYS] 2026/06/10 - 17:22:59 | initializing token encoders 
[SYS] 2026/06/10 - 17:22:59 | token encoders initialized 
[SYS] 2026/06/10 - 17:22:59 | using SQLite as database 
[SYS] 2026/06/10 - 17:22:59 | database migration started 
[SYS] 2026/06/10 - 17:22:59 | system is already initialized at: 2026-03-24 08:57:55 +0800 CST 
[SYS] 2026/06/10 - 17:22:59 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2026/06/10 - 17:22:59 | i18n initialized with languages: zh-CN, zh-TW, en 
[SYS] 2026/06/10 - 17:22:59 | New API v0.0.0 started 
[SYS] 2026/06/10 - 17:22:59 | 正在更新数据看板数据... 
[SYS] 2026/06/10 - 17:22:59 | upstream model update task started: interval=30m0s 
[INFO] 2026/06/10 - 17:22:59 | SYSTEM | codex credential auto-refresh task started: tick=10m0s threshold=24h0m0s 
[SYS] 2026/06/10 - 17:22:59 | 保存数据看板数据成功，共保存0条数据 

  [32mNew API v0.0.0[0m  ready in 181 ms

  ➜  [1mLocal:[0m   http://localhost:3000/
  ➜  [1mNetwork:[0m http://192.168.10.35:3000/

[SYS] 2026/06/10 - 17:23:00 | upstream model update check failed: channel_id=9 channel_name=axa err=Get "https://api.axa.us.ci/v1/models": read tcp 127.0.0.1:43822->127.0.0.1:7890: wsarecv: An established connection was aborted by the software in your host machine. 
[SYS] 2026/06/10 - 17:23:00 | upstream model update check failed: channel_id=18 channel_name=grok2api err=Get "https://vibe.grok2api.us.ci/v1/models": EOF 
[SYS] 2026/06/10 - 17:23:01 | upstream model update task done: checked_channels=5 changed_channels=1 detected_add_models=0 detected_remove_models=82 failed_channels=2 auto_added_models=0 
[SYS] 2026/06/10 - 17:23:01 | upstream model update notifications sent: 0 
[GIN] 2026/06/10 - 17:23:22 | api | 202606100923222020480008268d9d6vYb0ds05 | 200 |      3.0472ms |       127.0.0.1 |     GET /api/log/?p=1&page_size=100&type=0&username=&token_name=&model_name=&start_timestamp=1781020800&end_timestamp=1781086993&channel=&request_id=&exclude_model_test=false
[GIN] 2026/06/10 - 17:23:29 | api | 202606100923291349810008268d9d6ljjow4Pp | 200 |       528.1µs |       127.0.0.1 |     GET /api/log/stat?type=0&username=&token_name=&model_name=&start_timestamp=1781020800&end_timestamp=1781086993&channel=&exclude_model_test=true
[GIN] 2026/06/10 - 17:23:29 | api | 202606100923291355091008268d9d6i8h5p0Tg | 200 |       521.3µs |       127.0.0.1 |     GET /api/log/?p=1&page_size=100&type=0&username=&token_name=&model_name=&start_timestamp=1781020800&end_timestamp=1781086993&channel=&request_id=&exclude_model_test=true
[GIN] 2026/06/10 - 17:23:33 | api | 202606100923332094920008268d9d6tZmuR1DH | 200 |       999.7µs |       127.0.0.1 |     GET /api/log/stat?type=0&username=&token_name=&model_name=&start_timestamp=1781020800&end_timestamp=1781086993&channel=&exclude_model_test=false
[GIN] 2026/06/10 - 17:23:33 | api | 202606100923332094920008268d9d6ruMpQBlA | 200 |      2.0578ms |       127.0.0.1 |     GET /api/log/?p=1&page_size=100&type=0&username=&token_name=&model_name=&start_timestamp=1781020800&end_timestamp=1781086993&channel=&request_id=&exclude_model_test=false
[GIN] 2026/06/10 - 17:23:38 | api | 202606100923385345032008268d9d6O3gx5e3S | 200 |      1.0517ms |       127.0.0.1 |     GET /api/log/stat?type=0&username=&token_name=&model_name=&start_timestamp=1781020800&end_timestamp=1781086993&channel=&exclude_model_test=true
[GIN] 2026/06/10 - 17:23:38 | api | 202606100923385351392008268d9d61R9fHKO4 | 200 |      1.0638ms |       127.0.0.1 |     GET /api/log/?p=1&page_size=100&type=0&username=&token_name=&model_name=&start_timestamp=1781020800&end_timestamp=1781086993&channel=&request_id=&exclude_model_test=true
[GIN] 2026/06/10 - 17:23:45 | api | 202606100923453315615008268d9d68GiRLd87 | 200 |      1.2892ms |       127.0.0.1 |     GET /api/log/stat?type=0&username=&token_name=&model_name=&start_timestamp=1781020800&end_timestamp=1781086993&channel=&exclude_model_test=true
[GIN] 2026/06/10 - 17:23:45 | api | 202606100923453318838008268d9d6DXgCyrzd | 200 |       772.1µs |       127.0.0.1 |     GET /api/log/?p=1&page_size=100&type=0&username=&token_name=&model_name=&start_timestamp=1781020800&end_timestamp=1781086993&channel=&request_id=&exclude_model_test=true
[GIN] 2026/06/10 - 17:23:46 | api | 20260610092346997005008268d9d6uBug1HEh | 200 |      1.6659ms |       127.0.0.1 |     GET /api/log/stat?type=0&username=&token_name=&model_name=&start_timestamp=1781020800&end_timestamp=1781086993&channel=&exclude_model_test=true
[GIN] 2026/06/10 - 17:23:46 | api | 20260610092346997005008268d9d6ufhFvI3O | 200 |      1.6659ms |       127.0.0.1 |     GET /api/log/?p=1&page_size=100&type=0&username=&token_name=&model_name=&start_timestamp=1781020800&end_timestamp=1781086993&channel=&request_id=&exclude_model_test=true
[GIN] 2026/06/10 - 17:23:52 | api | 202606100923528380988008268d9d6luzD5WIO | 200 |      2.4496ms |       127.0.0.1 |     GET /api/log/stat?type=0&username=&token_name=&model_name=&start_timestamp=1781020800&end_timestamp=1781086993&channel=&exclude_model_test=true
[GIN] 2026/06/10 - 17:23:52 | api | 202606100923528396309008268d9d6OWULGItx | 200 |       769.4µs |       127.0.0.1 |     GET /api/log/?p=1&page_size=100&type=0&username=&token_name=&model_name=&start_timestamp=1781020800&end_timestamp=1781086993&channel=&request_id=&exclude_model_test=true
[SYS] 2026/06/10 - 17:23:59 | syncing options from database 
